experiment,experiment_name,condition,condition_idx,n_components,alpha,var_thresh,corr_thresh,n_full,n_dedup,n_features,r2_full,r2_dedup,mae_full,mae_dedup,std_r2_full,std_r2_dedup,delta_r2,n_seeds
1,Arginine on CEX (pH 6),0M,0,6,0.1,0.01,0.8,20,13,7,0.020607497170027744,-1.0437036130834767,0.0640576008852137,0.09873095394199248,0.0,0.0,1.0643111102535046,3
1,Arginine on CEX (pH 6),0M,0,9,0.1,0.01,0.8,20,13,7,-0.09372474138913578,-0.8424425642686174,0.06764189182374344,0.09646227970035258,0.0,1.1102230246251565e-16,0.7487178228794816,3
1,Arginine on CEX (pH 6),0M,0,12,0.1,0.01,0.8,20,13,7,-0.09372474138913578,-0.8424425642686174,0.06764189182374344,0.09646227970035258,0.0,1.1102230246251565e-16,0.7487178228794816,3
1,Arginine on CEX (pH 6),0M,0,15,0.1,0.01,0.8,20,13,7,-0.09372474138913578,-0.8424425642686174,0.06764189182374344,0.09646227970035258,0.0,1.1102230246251565e-16,0.7487178228794816,3
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.01,0.85,20,13,10,0.26847901512839867,0.14429259269491945,0.053532034422676844,0.059258821463017836,0.0,0.0,0.12418642243347922,3
1,Arginine on CEX (pH 6),0M,0,2,0.1,0.01,0.85,20,13,10,0.24457305833372167,0.25523816355038975,0.05510671742992609,0.05620500666067144,0.0,0.0,-0.01066510521666808,3
1,Arginine on CEX (pH 6),0M,0,3,0.1,0.01,0.85,20,13,10,0.2588357552158215,0.2119309678333472,0.05473411172745155,0.06022488243169253,0.0,0.0,0.04690478738247428,3
1,Arginine on CEX (pH 6),0M,0,6,0.1,0.01,0.85,20,13,10,-0.035789604438331235,-0.8561327312898049,0.06317453728597529,0.09334601540039027,0.0,1.1102230246251565e-16,0.8203431268514737,3
1,Arginine on CEX (pH 6),0M,0,9,0.1,0.01,0.85,20,13,10,-0.335395144363982,-0.5411878932773351,0.07124979299535714,0.08951548348791126,0.0,0.0,0.20579274891335309,3
1,Arginine on CEX (pH 6),0M,0,12,0.1,0.01,0.85,20,13,10,0.045475540959515115,-0.5411878932773351,0.06258396682820919,0.08951548348791126,0.0,0.0,0.5866634342368502,3
1,Arginine on CEX (pH 6),0M,0,15,0.1,0.01,0.85,20,13,10,0.045475540959515115,-0.5411878932773351,0.06258396682820919,0.08951548348791126,0.0,0.0,0.5866634342368502,3
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.01,0.9,20,13,13,0.30716465890998734,0.35463577482956704,0.05148097008010266,0.05300845447359403,0.0,5.551115123125783e-17,-0.0474711159195797,3
1,Arginine on CEX (pH 6),0M,0,2,0.1,0.01,0.9,20,13,13,0.27280812291901835,0.21825884189511902,0.05348817503197636,0.05792155515193582,0.0,0.0,0.05454928102389933,3
1,Arginine on CEX (pH 6),0M,0,3,0.1,0.01,0.9,20,13,13,0.32144866978162456,0.1601892254721976,0.053340800925387545,0.06202632846026968,0.0,0.0,0.16125944430942696,3
1,Arginine on CEX (pH 6),0M,0,6,0.1,0.01,0.9,20,13,13,0.29689766815975327,0.3449523795541897,0.05238350672983224,0.05309376917783778,0.0,5.551115123125783e-17,-0.048054711394436456,3
1,Arginine on CEX (pH 6),0M,0,9,0.1,0.01,0.9,20,13,13,0.404322645336815,-0.34599591048966616,0.04581226659279586,0.06526417533851199,5.551115123125783e-17,0.0,0.7503185558264811,3
1,Arginine on CEX (pH 6),0M,0,12,0.1,0.01,0.9,20,13,13,0.2007885625536271,-0.5743227265305342,0.05359493683294168,0.07232200202622302,0.0,0.0,0.7751112890841613,3
1,Arginine on CEX (pH 6),0M,0,15,0.1,0.01,0.9,20,13,13,0.212996213401475,-0.5743227265305342,0.053339675516924624,0.07232200202622302,0.0,0.0,0.7873189399320092,3
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.01,0.95,20,13,23,0.35046288229241696,0.4032355659490728,0.04851460417699569,0.054380009827899624,0.0,5.551115123125783e-17,-0.05277268365665583,3
1,Arginine on CEX (pH 6),0M,0,2,0.1,0.01,0.95,20,13,23,0.32841802566787304,0.31526947230868807,0.05075697796350074,0.05836041215080303,0.0,0.0,0.013148553359184967,3
1,Arginine on CEX (pH 6),0M,0,3,0.1,0.01,0.95,20,13,23,0.4323812307559427,0.3595036178551798,0.04686621492248393,0.055344766454166756,0.0,0.0,0.07287761290076289,3
1,Arginine on CEX (pH 6),0M,0,6,0.1,0.01,0.95,20,13,23,-0.041799612043383894,0.15669621676374723,0.05616113017019438,0.055549212640312456,0.0,0.0,-0.19849582880713112,3
1,Arginine on CEX (pH 6),0M,0,9,0.1,0.01,0.95,20,13,23,0.10097089692126893,-0.3651665842710692,0.051435633600948806,0.0821806053985946,0.0,0.0,0.4661374811923381,3
1,Arginine on CEX (pH 6),0M,0,12,0.1,0.01,0.95,20,13,23,0.2246254740119782,-0.05951886151021424,0.05025140754880061,0.06680153102791778,0.0,0.0,0.2841443355221924,3
1,Arginine on CEX (pH 6),0M,0,15,0.1,0.01,0.95,20,13,23,0.5236959132987249,-0.05951886151021424,0.0416125617060372,0.06680153102791778,0.0,0.0,0.5832147748089391,3
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.01,1.0,20,13,62,0.3518621191779725,0.32482263407298895,0.0483072517835225,0.05662043501191108,0.0,0.0,0.02703948510498355,3
