category,aa type,model,0.025M Arginine on CM Sepharose FF pH 6,0.1M Arginine on CM Sepharose FF pH 6,0M Arginine on CM Sepharose FF pH 6,"0,025M Arginine on Capto MMC pH 6",0.1M Arginine on Capto MMC pH 6,0M Arginine on Capto MMC pH 6,0.025M Guanidine on CM Sepharose FF pH 6,0.1M Guanidine on CM Sepharose pH 6,0M Guanidine on CM Sepharose FF pH 6,0.025M Guanidine on Capto MMC pH 6,0.1M Guanidine on Capto MMC pH 6,0M Guanidine on Capto MMC pH 6,CM Sepharose FF pH 5,Capto MMC pH 5,SP Sepharose FF pH 5,CM Sepharose FF pH 6,Capto MMC pH 6,SP Sepharose FF pH 6,20% Ethylene Glycol on Capto MMC pH 6,20% Propylene Glycol on Capto MMC pH 6,No Modifier (poly-ols),0.01 Sodium Caprylate on CM Sepharose FF pH 6,0.025M Sodium Caprylate on CM Sepharose FF pH 6,0M Sodium Caprylate on CM Sepharose FF pH 6,0.01M Sodium Caprylate on Capto MMC pH 6,0.025M Sodium Caprylate on Capto MMC pH 6,0M Sodium Caprylate on Capto MMC pH 6
,,INT_aromatic_sum,0.014669679,0.013748504,0.013013475,0.013562438,0.013618886,0.019594561,0.002982368,0.010688729,0.013306838,0.013326569,0.005963331,0.019729225,0.016255814,0.007859381,0.020782081,0.012978152,0.012860076,0.013235804,0.016477076,0.01879037,0.019252219,0.007517064,0.014937222,0.015803685,0.014026244,0.017950438,0.018138747
,,INT_gln_charge,0.031236339,0.032285168,0.025914745,0.030863696,0.028896754,0.031449297,0.020745144,0.019661472,0.026404887,0.029260609,0.025210622,0.031585997,0.01963742,0.023896216,0.017826082,0.024837482,0.033060045,0.02649122,0.035020574,0.0343065,0.031815861,0.016642322,0.018668047,0.021488047,0.031528452,0.029840997,0.03426685
,,INT_shape_arg,0.026751783,0.035617665,0.024543161,0.0309381,0.028797725,0.037999482,0.026874626,0.035210864,0.024628788,0.034470377,0.021718409,0.037788677,0.034463682,0.034869993,0.034755107,0.024956942,0.040658491,0.023059067,0.040625944,0.036221867,0.038120285,0.028829299,0.028234245,0.032107635,0.039118688,0.037607847,0.037607176
,,INT_trp_tyr,0.016088969,0.006169991,0.016846922,0.008038105,0.009310849,0.010997131,0.007364001,0.007347398,0.016719735,0.005827262,0.002355042,0.011295277,0.02649338,0.004655475,0.032362186,0.015095066,0.007711941,0.017767959,0.008928606,0.010429493,0.011003379,0.013106357,0.018182405,0.019202504,0.006704617,0.01111625,0.008964695
,,Isoelectric point,0.016570966,0.018101799,0.017730405,0.014441418,0.015152163,0.012979649,0.020274655,0.021284866,0.017751831,0.011454269,0.009050705,0.013069591,0.01629747,0.005109219,0.012805663,0.018010331,0.009955592,0.01878893,0.013327299,0.013334764,0.013014957,0.017568073,0.018992141,0.016061608,0.015145858,0.016733039,0.012090717
,,Shape max,0.013981522,0.007347348,0.006689658,0.007508222,0.005222481,0.003785081,0.012077454,0.002973803,0.006676408,0.003064037,0.003883656,0.003936559,0.014765307,0.023304483,0.015085156,0.007397826,0.021189543,0.004364206,0.009546515,0.006862483,0.004706172,0.00798676,0.002892681,0.00431125,0.00650193,0.000339081,0.006246307
,,SurfMhpMin,0.004536872,0.012572866,0.003922322,0.012578833,0.012480706,0.007467757,0.000994817,0.000538968,0.003336798,0.005222331,0.012379582,0.007523587,0.001200418,0.024907353,0.001834086,0.001568902,0.006724754,0.005467265,0.009344359,0.011120046,0.007853334,0.008452101,0.005004262,0.012236387,0.011309025,0.00542453,0.011608353
,,SurfNegMhpStd,0.006270442,0.009043362,0.013480929,0.008902814,0.010499385,0.011295773,0.015587873,0.016701582,0.012944039,0.011366195,0.003737219,0.011226398,0.009593588,0.002490117,0.004635371,0.012484516,0.005808483,0.013651144,0.010424574,0.008515205,0.010999938,0.020596961,0.019037604,0.020168091,0.012903121,0.017246176,0.008271232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
